id,accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,casualty_home_area_type,accident_severity,day_of_week,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,vehicle_type,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,hit_object_in_carriageway,hit_object_off_carriageway,first_point_of_impact,journey_purpose_of_driver,sex_of_driver,age_band_of_driver,age_of_vehicle,driver_home_area_type
507136,2006620155504,1,1,1,1,5,3,9,1,3,2,19:10,6,30,5,4,0,0,1,2,2,0,0,1,9,17,0,1,10,2,4,-1,1,5,-1,1
510112,200663AC34206,2,4,2,2,5,3,9,-1,2,4,06:40,6,60,0,-1,0,0,1,1,2,0,0,2,9,18,0,0,0,10,1,1,1,8,-1,1
511286,200663CP28306,1,2,2,2,2,3,9,2,3,7,11:18,6,30,9,4,0,0,1,1,1,0,0,2,9,18,0,1,0,0,1,-1,1,6,5,1
511520,200663DP03506,1,1,1,1,7,3,9,1,3,5,08:20,6,60,0,-1,0,0,1,7,1,0,0,2,9,13,0,0,0,9,4,2,1,7,-1,1
511849,200663DP26606,1,2,2,2,9,3,9,1,3,6,09:14,6,60,0,-1,0,0,1,1,1,0,0,2,9,18,0,0,0,0,1,-1,1,10,2,1
516111,2006940600139,1,1,2,2,4,3,9,-1,3,4,08:50,6,60,9,4,0,0,1,1,2,0,0,2,9,18,0,1,0,0,1,-1,1,4,6,1
519821,2006950009496,2,1,2,2,8,3,9,1,3,5,13:50,6,30,3,2,2,5,1,1,2,0,0,1,9,3,0,1,0,0,2,-1,2,6,12,1
524046,200697GE04208,2,1,1,1,6,2,5,1,2,4,22:50,6,30,3,4,0,0,4,1,1,0,0,1,5,18,0,1,0,0,1,-1,1,6,4,1
524856,200697KC04012,1,1,3,1,2,3,0,-1,3,5,15:10,6,30,3,4,0,0,1,2,2,0,0,1,9,9,0,2,0,0,3,-1,2,8,7,1
525396,200697LB21908,1,1,1,2,11,2,5,3,2,4,10:00,6,40,3,4,0,0,1,1,2,0,0,2,5,5,0,6,0,0,1,-1,2,11,-1,3
525572,200697LC00602,1,2,1,1,6,3,9,1,3,5,09:55,6,30,3,4,0,0,1,1,1,0,0,1,9,9,0,6,0,0,3,1,1,6,6,1
529015,2006983105206,2,1,1,2,4,3,9,1,3,6,23:10,-1,30,0,-1,0,0,4,1,1,0,0,1,9,18,0,0,0,0,1,-1,2,4,10,1
529390,2006984144806,1,1,1,1,7,2,9,-1,2,6,16:27,3,70,0,-1,0,0,1,5,4,0,0,2,9,13,0,0,0,9,2,-1,1,7,-1,-1
532093,200701CW65795,2,1,1,1,10,3,9,1,3,3,06:30,3,30,9,4,0,5,1,1,1,0,0,1,9,3,0,2,0,0,2,-1,1,10,2,1
